dataset,descriptor,method,RMSE,rsq,rank_RMSE,rank_rsq
Public-A,Identity,CNN,22.674,0.852,26,30
Public-A,Identity,GLMNET,20.6,0.871,6,15
Public-A,Identity,MLP,19.724,0.884,3,7
Public-A,Identity,RF,24.833,0.85,33,31
Public-A,Identity,SVM,20.808,0.867,8,19
Public-A,Identity,XGB,21.049,0.864,12,22
Public-A,mutInd,GLMNET,20.975,0.868,11,17
Public-A,mutInd,MLP,20.61,0.888,7,6
Public-A,mutInd,RF,25.918,0.848,35,32
Public-A,mutInd,SVM,22.453,0.854,23,29
Public-A,mutInd,XGB,20.448,0.871,5,15
Public-A,PCscores ,CNN,19.698,0.89,2,5
Public-A,PCscores ,GLMNET,22.386,0.863,22,23
Public-A,PCscores ,MLP,19.772,0.901,4,2
Public-A,PCscores ,RF,24.813,0.861,32,26
Public-A,PCscores ,SVM,20.9,0.876,9,11
Public-A,PCscores ,XGB,21.363,0.86,16,27
Public-A,protVec,GLMNET,21.693,0.86,17,27
Public-A,protVec,MLP,28.151,0.797,36,39
Public-A,protVec,RF,43.997,0.667,44,43
Public-A,protVec,SVM,29.051,0.763,38,41
Public-A,protVec,XGB,36.934,0.689,43,42
Public-A,sPairs,GLMNET,28.307,0.843,37,35
Public-A,sPairs,MLP,22.523,0.836,24,36
Public-A,sPairs,RF,25.793,0.848,34,32
Public-A,sPairs,SVM,22.302,0.846,21,34
Public-A,sPairs,XGB,21.944,0.836,18,36
Public-A,sScales,GLMNET,36.551,0.825,42,38
Public-A,sScales,MLP,30.915,0.867,40,19
Public-A,sScales,RF,24.383,0.862,29,24
Public-A,sScales,SVM,34.408,0.617,41,44
Public-A,sScales,XGB,21.188,0.872,14,13
Public-A,VHSE,CNN,22.742,0.877,27,10
Public-A,VHSE,GLMNET,23.365,0.876,28,11
Public-A,VHSE,MLP,18.463,0.934,1,1
Public-A,VHSE,RF,24.41,0.862,30,24
Public-A,VHSE,SVM,22.016,0.883,19,9
Public-A,VHSE,XGB,21.099,0.866,13,21
Public-A,zScales,CNN,20.963,0.898,10,3
Public-A,zScales,GLMNET,22.132,0.884,20,7
Public-A,zScales,MLP,22.524,0.897,25,4
Public-A,zScales,RF,24.727,0.872,31,13
Public-A,zScales,SVM,29.392,0.797,39,39
Public-A,zScales,XGB,21.325,0.868,15,17
